created_at,full_text,username,tweet_tokens,tweet_tokens_WSW,tweet_tokens_stemmed
2023-08-23,unj siakad lagi error kah ini udah nyari semua kode seksi semua nama matkuldosen malah no result semua,UNJmenfess,"['unj', 'siakad', 'lagi', 'error', 'kah', 'ini', 'udah', 'nyari', 'semua', 'kode', 'seksi', 'semua', 'nama', 'matkuldosen', 'malah', 'no', 'result', 'semua']","['unj', 'siakad', 'error', 'kah', 'udah', 'nyari', 'kode', 'seksi', 'nama', 'matkuldosen', 'no', 'result']","['unj', 'siakad', 'error', 'kah', 'udah', 'nyari', 'kode', 'seksi', 'nama', 'matkuldosen', 'no', 'result']"
2023-08-23,siakad unj di kalian error ngga guys kayak suka keluar sendiri gtu balik ke laman login,UNJmenfess,"['siakad', 'unj', 'di', 'kalian', 'error', 'ngga', 'guys', 'kayak', 'suka', 'keluar', 'sendiri', 'gtu', 'balik', 'ke', 'laman', 'login']","['siakad', 'unj', 'error', 'ngga', 'guys', 'kayak', 'suka', 'gtu', 'laman', 'login']","['siakad', 'unj', 'error', 'ngga', 'guys', 'kayak', 'suka', 'gtu', 'laman', 'login']"
2023-08-20,unj cara liat email mahasiswa unj dimana ya waktu itu udah lama banget ada di siakad tapi sekarang udah gaada lagi masa,UNJmenfess,"['unj', 'cara', 'liat', 'email', 'mahasiswa', 'unj', 'dimana', 'ya', 'waktu', 'itu', 'udah', 'lama', 'banget', 'ada', 'di', 'siakad', 'tapi', 'sekarang', 'udah', 'gaada', 'lagi', 'masa']","['unj', 'liat', 'email', 'mahasiswa', 'unj', 'dimana', 'udah', 'banget', 'siakad', 'udah', 'gaada']","['unj', 'liat', 'email', 'mahasiswa', 'unj', 'mana', 'udah', 'banget', 'siakad', 'udah', 'gaada']"
2023-08-04,cek di siakad unj pedoman akademik fis cari prodi mu,akupetapahltam,"['cek', 'di', 'siakad', 'unj', 'pedoman', 'akademik', 'fis', 'cari', 'prodi', 'mu']","['cek', 'siakad', 'unj', 'pedoman', 'akademik', 'fis', 'cari', 'prodi', 'mu']","['cek', 'siakad', 'unj', 'pedoman', 'akademik', 'fis', 'cari', 'prodi', 'mu']"
2023-07-27,from anak unj to anak unj kan aku tuh pindah domisili kk ya nah alamat data mahasiswa di siakad itu perlu diganti pastinya kan tp cara untuk gantinya itu langsung ganti aja di siakad atau harus bilang ke advo atau korprodi dulu yak makasih yg udh mau jawab,unjsecret,"['from', 'anak', 'unj', 'to', 'anak', 'unj', 'kan', 'aku', 'tuh', 'pindah', 'domisili', 'kk', 'ya', 'nah', 'alamat', 'data', 'mahasiswa', 'di', 'siakad', 'itu', 'perlu', 'diganti', 'pastinya', 'kan', 'tp', 'cara', 'untuk', 'gantinya', 'itu', 'langsung', 'ganti', 'aja', 'di', 'siakad', 'atau', 'harus', 'bilang', 'ke', 'advo', 'atau', 'korprodi', 'dulu', 'yak', 'makasih', 'yg', 'udh', 'mau', 'jawab']","['from', 'anak', 'unj', 'to', 'anak', 'unj', 'pindah', 'domisili', 'kk', 'alamat', 'data', 'mahasiswa', 'siakad', 'diganti', 'pastinya', 'tp', 'gantinya', 'langsung', 'ganti', 'siakad', 'advo', 'korprodi', 'yak', 'makasih', 'udh']","['from', 'anak', 'unj', 'to', 'anak', 'unj', 'pindah', 'domisili', 'kk', 'alamat', 'data', 'mahasiswa', 'siakad', 'ganti', 'pasti', 'tp', 'ganti', 'langsung', 'ganti', 'siakad', 'advo', 'korprodi', 'yak', 'makasih', 'udh']"
2023-07-12,cm anak unj info dong kalo mau login repository pake akun apa ya kok masukin usrnm dan pw siakad gabisa coba pake nim aja juga gabisa,collegemenfess,"['cm', 'anak', 'unj', 'info', 'dong', 'kalo', 'mau', 'login', 'repository', 'pake', 'akun', 'apa', 'ya', 'kok', 'masukin', 'usrnm', 'dan', 'pw', 'siakad', 'gabisa', 'coba', 'pake', 'nim', 'aja', 'juga', 'gabisa']","['cm', 'anak', 'unj', 'info', 'login', 'repository', 'pake', 'akun', 'masukin', 'usrnm', 'pw', 'siakad', 'gabisa', 'coba', 'pake', 'nim', 'gabisa']","['cm', 'anak', 'unj', 'info', 'login', 'repository', 'pake', 'akun', 'masukin', 'usrnm', 'pw', 'siakad', 'gabisa', 'coba', 'pake', 'nim', 'gabisa']"
2023-07-06,from mahasiswa akhir to warga unj message aku kalau mau buka khs di siakad malah kembali ke halaman login ada yang tau enggak itu kenapa,unjsecret,"['from', 'mahasiswa', 'akhir', 'to', 'warga', 'unj', 'message', 'aku', 'kalau', 'mau', 'buka', 'khs', 'di', 'siakad', 'malah', 'kembali', 'ke', 'halaman', 'login', 'ada', 'yang', 'tau', 'enggak', 'itu', 'kenapa']","['from', 'mahasiswa', 'to', 'warga', 'unj', 'message', 'buka', 'khs', 'siakad', 'halaman', 'login']","['from', 'mahasiswa', 'to', 'warga', 'unj', 'message', 'buka', 'khs', 'siakad', 'halaman', 'login']"
2023-07-05,perkuliahan dilaksanakan selama pertemuan yang dimulai pada tanggal juli agustus biaya pelaksanaan sebesar rp per sks pengisian krs melalui siakad unj dan pembayaran biaya dilakukan pada tanggal juni juli,sosiologi_unj,"['perkuliahan', 'dilaksanakan', 'selama', 'pertemuan', 'yang', 'dimulai', 'pada', 'tanggal', 'juli', 'agustus', 'biaya', 'pelaksanaan', 'sebesar', 'rp', 'per', 'sks', 'pengisian', 'krs', 'melalui', 'siakad', 'unj', 'dan', 'pembayaran', 'biaya', 'dilakukan', 'pada', 'tanggal', 'juni', 'juli']","['perkuliahan', 'dilaksanakan', 'pertemuan', 'tanggal', 'juli', 'agustus', 'biaya', 'pelaksanaan', 'rp', 'sks', 'pengisian', 'krs', 'siakad', 'unj', 'pembayaran', 'biaya', 'tanggal', 'juni', 'juli']","['kuliah', 'laksana', 'temu', 'tanggal', 'juli', 'agustus', 'biaya', 'laksana', 'rp', 'sks', 'isi', 'krs', 'siakad', 'unj', 'bayar', 'biaya', 'tanggal', 'juni', 'juli']"
2023-07-02,dari sender cm untuk akademik pascasarjana unj dear akademik pascasarjana unj kami para mahasiswa baru di pascasarjana butuh kepastian perihal kapan kami bisa mengakses siakad kapan kalender akademik kode diperbarui cont,collegemenfess,"['dari', 'sender', 'cm', 'untuk', 'akademik', 'pascasarjana', 'unj', 'dear', 'akademik', 'pascasarjana', 'unj', 'kami', 'para', 'mahasiswa', 'baru', 'di', 'pascasarjana', 'butuh', 'kepastian', 'perihal', 'kapan', 'kami', 'bisa', 'mengakses', 'siakad', 'kapan', 'kalender', 'akademik', 'kode', 'diperbarui', 'cont']","['sender', 'cm', 'akademik', 'pascasarjana', 'unj', 'dear', 'akademik', 'pascasarjana', 'unj', 'mahasiswa', 'pascasarjana', 'butuh', 'kepastian', 'perihal', 'mengakses', 'siakad', 'kalender', 'akademik', 'kode', 'diperbarui', 'cont']","['sender', 'cm', 'akademik', 'pascasarjana', 'unj', 'dear', 'akademik', 'pascasarjana', 'unj', 'mahasiswa', 'pascasarjana', 'butuh', 'pasti', 'perihal', 'akses', 'siakad', 'kalender', 'akademik', 'kode', 'baru', 'cont']"
2023-06-30,from aku to seluruh lapisan masyarakat unj nilai udah keluar di siakad tapi ini tuh udah terakhir banget fix nilainya ga ya soalnya aku ada beberapa matkul yang nilainya belum keluar alias kosong dan sekarang lagi panik,unjsecret,"['from', 'aku', 'to', 'seluruh', 'lapisan', 'masyarakat', 'unj', 'nilai', 'udah', 'keluar', 'di', 'siakad', 'tapi', 'ini', 'tuh', 'udah', 'terakhir', 'banget', 'fix', 'nilainya', 'ga', 'ya', 'soalnya', 'aku', 'ada', 'beberapa', 'matkul', 'yang', 'nilainya', 'belum', 'keluar', 'alias', 'kosong', 'dan', 'sekarang', 'lagi', 'panik']","['from', 'to', 'lapisan', 'masyarakat', 'unj', 'nilai', 'udah', 'siakad', 'udah', 'banget', 'fix', 'nilainya', 'matkul', 'nilainya', 'alias', 'kosong', 'panik']","['from', 'to', 'lapis', 'masyarakat', 'unj', 'nilai', 'udah', 'siakad', 'udah', 'banget', 'fix', 'nilai', 'matkul', 'nilai', 'alias', 'kosong', 'panik']"
