created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Jan 14 22:22:22 +0000 2014;423218559007735808;"Cuma siakad unj yang ngenes beb RT "@Chitrafebrina24: @LieArtha ih kalo bisa bilang yaaaah, dari kemaren2 nyeri hate beb, teu bisa2 dibuka";0;0;0;0;in;743504358;423218559007735808;LieArtha;https://twitter.com/LieArtha/status/423218559007735808
Tue Jan 14 21:34:22 +0000 2014;423206482654396416;"Iyak il, kalo di rumah bs gila buka siakad nye wakaka RT @IsmailMrzuki: Yoih mos, harus ke unj nih kayanya.. -__- RT @Ajieamri:";0;0;0;0;in;79167041;423206482654396416;mauiwowieman_;https://twitter.com/mauiwowieman_/status/423206482654396416
Tue Jan 14 21:31:22 +0000 2014;423205725548978176;"Tanda tangan petisi ini dong yg baik Hati ☺ Petisi | UNJ Tingkatkan performa SIAKAD http://t.co/sX5TmRuVJC http://t.co/jYIW59338n";0;0;0;0;in;457223186;423205725548978176;BelovedSyifa;https://twitter.com/BelovedSyifa/status/423205725548978176
Tue Jan 14 21:21:05 +0000 2014;423203137470492673;"#DearSiakad aku menunggumu dari tahun ke tahun sudah kelamaan. Tapi kamu tetap tiada perubahan. Jalur aksesmu tetap aja 'karatan' #SiakadUNJ";0;0;0;0;in;457223186;423203137470492673;BelovedSyifa;https://twitter.com/BelovedSyifa/status/423203137470492673
Tue Jan 14 21:18:36 +0000 2014;423202512024268800;"UNJ mahasiswanya ribuan. Dari banyak jurusan Nah dana yg didapet per tahunnya kan pasti besar pada kemana si betulin akses siakad aja engga☹";0;0;0;0;in;457223186;423202512024268800;BelovedSyifa;https://twitter.com/BelovedSyifa/status/423202512024268800
Tue Jan 14 21:14:34 +0000 2014;423201498135146496;"Siakad unj ini dari tahun ke tahun ga pernah berubah tetep berkarat aja akses nya... #Hih gw tulis di @kompasiana. Juga nih lama-lama☹";0;0;0;0;in;457223186;423201498135146496;BelovedSyifa;https://twitter.com/BelovedSyifa/status/423201498135146496
Tue Jan 14 18:16:13 +0000 2014;423156616385396736;"@doankdaniel gue bukain punya anak fik jg ada jadwalnya niel. Skrg kan jdwl kita yak? Mending lu ikut #dialogBaCaRek unj dah, protes siakad.";0;1;0;0;in;445447840;423154866450477057;nisank_;https://twitter.com/nisank_/status/423156616385396736
Tue Jan 14 18:26:21 +0000 2014;423159163636572160;"Maaf laman siakad unj tidak dapat diakses karena tidak sesuai dengan UU ITE RI";0;0;0;0;in;325424186;423159163636572160;Jamenisme;https://twitter.com/Jamenisme/status/423159163636572160
Tue Jan 14 19:35:36 +0000 2014;423176593393995776;"mau melatih atau melihat sudah sampai manakah kesabaran anda? silahkan buka siakad unj.. :"D";0;0;1;0;in;535966478;423176593393995776;vruhaa;https://twitter.com/vruhaa/status/423176593393995776
Tue Jan 14 18:14:28 +0000 2014;423156172573523968;"Siakad oh siakad.. Kamu bikin galau anak satu kampus :)";0;0;0;0;in;938467477;423156172573523968;JJLC_UNJ;https://twitter.com/JJLC_UNJ/status/423156172573523968
Tue Jan 14 17:50:51 +0000 2014;423150231929110528;"Siakad eror! | yaelah unj aje eror hahaha";0;0;0;0;in;359814502;423150231929110528;Chitrafebrina24;https://twitter.com/Chitrafebrina24/status/423150231929110528
Tue Jan 14 17:37:36 +0000 2014;423146895284776960;"UNJ kalo masalah buka siakad kayak orang susah, kelamaan n ribet . tot [pic] — https://t.co/QojyNIvzbo";0;0;0;0;in;299088396;423146895284776960;wahyujogerjelek;https://twitter.com/wahyujogerjelek/status/423146895284776960
Tue Jan 14 17:03:22 +0000 2014;423138281459441664;"Warga unj pliss kalian tidur yg nyenyak yaaah, jangan ada yg buka siakad. Biar gue aja yg buka ..";0;0;0;0;in;477689871;423138281459441664;rifcaCh;https://twitter.com/rifcaCh/status/423138281459441664
Tue Jan 14 16:53:45 +0000 2014;423135860964339712;"emg lo ngerti?wkwk RT @AsriSupriyanti Aduh temen-temenku yang di UNJ, gak yang di TL, di PM ngomongin siakad. Semangat ya semoga ipnya";0;1;0;0;in;406066815;423128325037363201;masmasfortuner;https://twitter.com/masmasfortuner/status/423135860964339712
Tue Jan 14 16:49:01 +0000 2014;423134669991714817;"@selviavivi itulah UNJ, mending benerin aja dulu siakad baru benerin gedung :(";0;1;0;0;in;2190106442;423133530256732161;diahputriayuu;https://twitter.com/diahputriayuu/status/423134669991714817
Tue Jan 14 16:25:44 +0000 2014;423128811966713856;"“@CLisaR: sudahlah mungkin emang siakad diciptakan untuk menguji kesabaran mahasiswa UNJ” juara";0;0;0;0;in;1150954735;423127014237691904;well_while;https://twitter.com/well_while/status/423128811966713856
Tue Jan 14 15:07:37 +0000 2014;423109153905590272;"sudahhh "@bemjikk_unj: Selamat malam teman teman IKK. Gimana KRS dan KHS nya? Sudah ada yang bisa meluluhkan Siakad? :D"";0;0;0;0;in;77435333;423109153905590272;odimrf;https://twitter.com/odimrf/status/423109153905590272
Tue Jan 14 14:53:57 +0000 2014;423105713485783040;"Taat sama jadwal min 8) RT @bemjikk_unj: Selamat malam teman teman IKK. Gimana KRS dan KHS nya? Sudah ada yang bisa meluluhkan Siakad? :D";0;0;0;0;in;77214243;423105713485783040;diahelindar;https://twitter.com/diahelindar/status/423105713485783040
Tue Jan 14 14:50:54 +0000 2014;423104945731026944;"Selamat malam teman teman IKK. Gimana KRS dan KHS nya? Sudah ada yang bisa meluluhkan Siakad? :D";0;1;0;0;in;569159470;423104945731026944;bemjikk_unj;https://twitter.com/bemjikk_unj/status/423104945731026944
Tue Jan 14 13:55:53 +0000 2014;423091098345410561;"Cie maba yang di PHP-in SIAKAD --&gt  "@gregoriusandito: Perbedaan mendasar antara unj dengan universitas negeri lainnya: SIAKAD sulit diakses"";0;1;0;0;in;274995833;423091098345410561;theresia_venty;https://twitter.com/theresia_venty/status/423091098345410561
Tue Jan 14 12:31:31 +0000 2014;423069867399335936;"Amminnn RT @iienainggolan: Tuhan bersama mahasiswa FBS UNJ yang mau buka siakad tapi error terus. amin.";0;0;0;0;in;130064582;423069867399335936;mukliz_en;https://twitter.com/mukliz_en/status/423069867399335936
Tue Jan 14 12:00:48 +0000 2014;423062138576314369;"@fidowdidow iya kak kan siakad unj lemot banget dr dulu kkk";0;0;0;0;in;78886616;423058967049158656;nisa920810;https://twitter.com/nisa920810/status/423062138576314369
Tue Jan 14 11:44:16 +0000 2014;423057977650581504;"@asma_SN12 pftt tiap semester dibikin galau mulu heran #siakadunj";0;0;0;0;in;225478653;423034848790323200;nisahh_12;https://twitter.com/nisahh_12/status/423057977650581504
Tue Jan 14 11:31:31 +0000 2014;423054767800078336;"Terus aja phpin, liat aja pembalasanku! #SiakadUNJ";0;0;0;0;in;294133406;423054767800078336;esakhaosar;https://twitter.com/esakhaosar/status/423054767800078336
Tue Jan 14 11:26:11 +0000 2014;423053424561627136;"miris euy siakad unj ancur bgt";0;0;1;0;in;114468245;423053424561627136;adityaprtmaa;https://twitter.com/adityaprtmaa/status/423053424561627136
Tue Jan 14 11:20:04 +0000 2014;423051889073090560;"Tuhan bersama mahasiswa FBS UNJ yang mau buka siakad tapi error terus. amin.";0;0;0;0;in;45790767;423051889073090560;iienainggolan;https://twitter.com/iienainggolan/status/423051889073090560
Tue Jan 14 10:38:08 +0000 2014;423041333469511680;"Lagi lagi siakad bikin galau semua mahasiswa unj :(";0;0;1;0;in;91050283;423041333469511680;mariemaryam;https://twitter.com/mariemaryam/status/423041333469511680
Tue Jan 14 10:01:06 +0000 2014;423032014967562240;"Ini servernye siakad unj pake windows 98 ape gimane sik min? @MahasiswaUNJ";0;0;0;0;in;84549423;423032014967562240;fakhriraditya;https://twitter.com/fakhriraditya/status/423032014967562240
Tue Jan 14 09:54:14 +0000 2014;423030287853842432;"Udah ada yg berhasil buka siakad? Waktu mimin coba buka sih diomelin disuruh buka tgl 17,21,25,29 Januari 2014 jam 6 smpai 18.00";0;0;2;0;in;1279151222;423030287853842432;PLSFIP_UNJ;https://twitter.com/PLSFIP_UNJ/status/423030287853842432
Tue Jan 14 09:37:11 +0000 2014;423025997709983744;"Serius nih, bener #SiakadUNJ masih aja kayak hati gue gak mau move on-_-";0;0;1;0;in;459034670;423025997709983744;EldaSTambunan;https://twitter.com/EldaSTambunan/status/423025997709983744
Tue Jan 14 09:36:25 +0000 2014;423025802767126528;"Lupa pasword siakad :|,harus ke unj nih :(";0;1;0;0;in;1551851035;423025802767126528;aidafitria139;https://twitter.com/aidafitria139/status/423025802767126528
Tue Jan 14 09:36:12 +0000 2014;423025747758821376;"UNJ sepertinya tdk cocok sebagai penghasil Guru. Karna mengelola Siakad saja sudah kacau. Bagaimana mengelola otak muridnya kelak? :))";0;0;2;0;in;172927737;423025747758821376;Yogohars;https://twitter.com/Yogohars/status/423025747758821376
Tue Jan 14 09:22:56 +0000 2014;423022409097023489;"@MABA_UNJ min drtdi aku bka siakad,jwbanya"jdwal akses anda tgl 14,18,dst." tp kok mlah kmbali lg ke tmpilan awal ya?pdhal skrg bner tgl 14.";0;0;1;0;in;777191324;423022409097023489;FakhriaZulfa3;https://twitter.com/FakhriaZulfa3/status/423022409097023489
Tue Jan 14 08:46:13 +0000 2014;423013170072920064;"RT @nurilim: selamat siang @tpm_unj . Sy dr FBS tp ga bs log in ke siakad padahal hari ini jadwalnya. Terima kasih. http://t.co/Y8ljRB5AY9";0;1;0;0;in;109202444;423013170072920064;alinot;https://twitter.com/alinot/status/423013170072920064
Tue Jan 14 08:39:55 +0000 2014;423011583401291776;"selamat siang @tpm_unj . Sy dr FBS tp ga bs log in ke siakad padahal hari ini jadwalnya. Terima kasih. http://t.co/ugZLKcv4Zu";0;0;1;0;in;50251881;423011583401291776;nurilim;https://twitter.com/nurilim/status/423011583401291776
Tue Jan 14 07:16:46 +0000 2014;422990657032957952;"@MABA_UNJ minul.. gak bs buka siakad-_- padahal hari ini jadwal fakultas saya";0;0;0;0;in;109780389;422990657032957952;inaidzyr;https://twitter.com/inaidzyr/status/422990657032957952
Tue Jan 14 06:53:59 +0000 2014;422984923406807040;"Siakad UNJ gilaaaaaa'";0;0;0;0;in;1284778441;422984923406807040;orizatamara;https://twitter.com/orizatamara/status/422984923406807040
